institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
SBI,Salaried,600,600,CIBIL 600–649,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%,Bank of India,10.50%
SBI,Self-employed,600,600,CIBIL 600–649,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%,Bank of India,10.75%
SBI,Salaried,625,610,CIBIL 600–649,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%,Bank of India,10.50%
SBI,Self-employed,625,610,CIBIL 600–649,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%,Bank of India,10.75%
SBI,Salaried,675,668,CIBIL below 700,8.55%,Central Bank of India,8.85%,Bank of Baroda,8.90%,Bank of India,9.45%
SBI,Self-employed,675,668,CIBIL below 700,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.00%,Bank of India,9.65%
SBI,Salaried,725,723,CIBIL 700–749,8.20%,Central Bank of India,8.10%,Bank of India,8.25%,Canara Bank,8.25%
SBI,Self-employed,725,723,CIBIL 700–749,8.35%,Central Bank of India,8.20%,Bank of India,8.40%,Canara Bank,8.40%
SBI,Salaried,775,764,CIBIL 750–799,7.95%,Central Bank of India,7.80%,Bank of India,7.85%,Canara Bank,7.85%
SBI,Self-employed,775,764,CIBIL 750–799,8.05%,Central Bank of India,7.90%,Bank of India,7.95%,Canara Bank,8.00%
SBI,Salaried,825,832,CIBIL 800+,7.35%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
SBI,Self-employed,825,832,CIBIL 800+,7.35%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
SBI,Salaried,850,850,CIBIL 800+,7.25%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
SBI,Self-employed,850,850,CIBIL 800+,7.25%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Bank of India,Salaried,600,600,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Bank of India,Self-employed,600,600,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Bank of India,Salaried,625,610,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Bank of India,Self-employed,625,610,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Bank of India,Salaried,675,668,CIBIL below 700,9.45%,SBI,8.55%,Central Bank of India,8.85%,Bank of Baroda,8.90%
Bank of India,Self-employed,675,668,CIBIL below 700,9.65%,SBI,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.00%
Bank of India,Salaried,725,723,CIBIL 700–749,8.25%,Central Bank of India,8.10%,SBI,8.20%,Canara Bank,8.25%
Bank of India,Self-employed,725,723,CIBIL 700–749,8.40%,Central Bank of India,8.20%,SBI,8.35%,Canara Bank,8.40%
Bank of India,Salaried,775,764,CIBIL 750–799,7.85%,Central Bank of India,7.80%,Canara Bank,7.85%,Union Bank of India,7.85%
Bank of India,Self-employed,775,764,CIBIL 750–799,7.95%,Central Bank of India,7.90%,Canara Bank,8.00%,Union Bank of India,8.00%
Bank of India,Salaried,825,832,CIBIL 800+,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%,Union Bank of India,7.25%
Bank of India,Self-employed,825,832,CIBIL 800+,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%,Union Bank of India,7.25%
Bank of India,Salaried,850,850,CIBIL 800+,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Bank of India,Self-employed,850,850,CIBIL 800+,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Bank of Baroda,Salaried,600,600,CIBIL 600–649,9.60%,SBI,9.20%,Central Bank of India,9.65%,Bank of India,10.50%
